,t0,t1,cps,cps_err,flux,flux_err,counts,expt,detrad,cps_apcorrected,flux_apcorrected
0,816379187.0,816379192.0,4.814107764599748,1.0328477809931902,9.91706199507548e-16,2.1276664288459717e-16,21.724959425228203,4.512769652765438,31.771675733574792,5.13470866890656,1.0577499857947514e-15
1,816379192.0,816379197.0,5.904382458431274,1.143764410192186,1.2163027864368424e-15,2.356154684995903e-16,26.648686338503595,4.5133740109348945,31.44062199546193,6.297591428422764,1.2973038342550892e-15
2,816379197.0,816379202.0,5.331385807400782,1.0870439857685559,1.098265476324561e-15,2.239310610683225e-16,24.053926958634946,4.511758823614754,30.879956190492603,5.686435422955721,1.1714056971288784e-15
3,816379202.0,816379207.0,5.140079690742032,1.0670344312923508,1.0588564162928585e-15,2.1980909284622425e-16,23.205067572330673,4.514534592552347,30.3162194096613,5.482389060959883,1.1293721465577359e-15
4,816379207.0,816379212.0,5.125527794961644,1.065324181159732,1.0558587257620986e-15,2.194567813189048e-16,23.14800759028921,4.516219307803487,29.512507317648943,5.466868065363965,1.1261748214649767e-15
5,816379212.0,816379217.0,5.539361927220865,1.107736582919615,1.1411085570074981e-15,2.281937360814407e-16,25.006130105793204,4.514261829130733,28.91729925033747,5.908261945664348,1.2171019608068556e-15
6,816379217.0,816379222.0,5.57752119473404,1.111500062871486,1.1489693661152122e-15,2.289690129515261e-16,25.180449319179026,4.514630861995269,27.898158011615042,5.948962472382889,1.2254862693108752e-15
7,816379222.0,816379227.0,4.2941038709780095,0.9750119402489585,8.8458539742147e-16,2.0085245969128545e-16,19.396582702886466,4.517026901463558,27.224196846423318,4.580074532944987,9.434953537866671e-16
8,816379227.0,816379232.0,4.675668813953288,1.016929790101995,9.631877756743773e-16,2.0948753676101096e-16,21.14002729993225,4.521284150161677,26.323943815240455,4.987050221119852,1.0273323455506894e-15
9,816379232.0,816379237.0,5.670801061146601,1.1197668626392656,1.1681850185961998e-15,2.306719737036887e-16,25.646824587873912,4.522610529153051,25.313452225583415,6.048454416087401,1.2459816097140047e-15
10,816379237.0,816379242.0,5.234190080935737,1.0758353620406182,1.0782431566727618e-15,2.2162208458036735e-16,23.670495535719663,4.522284282707592,24.936088471648763,5.582766838107947,1.1500499686502371e-15
11,816379242.0,816379247.0,6.324540949857106,1.182746913240222,1.3028554356705638e-15,2.436458641274857e-16,28.593964335799228,4.521113004485372,24.485954349684672,6.745730845679513,1.3896205542099797e-15
12,816379247.0,816379252.0,5.742684284008798,1.1269375675763602,1.1829929625058125e-15,2.321491389207302e-16,25.96750164832475,4.521840373609674,24.150699585972017,6.1251247827737405,1.2617757052513906e-15
13,816379252.0,816379257.0,6.804522247612526,1.2265905155270036,1.4017315830081804e-15,2.5267764619856274e-16,30.77485903047473,4.522706798595974,24.77843642334245,7.257677036128525,1.495081469442476e-15
14,816379257.0,816379262.0,4.416340878987599,0.9877452734809017,9.097662210714454e-16,2.0347552633706574e-16,19.99103384469963,4.526605711034327,25.630601714020614,4.710452051558801,9.70353122621113e-16
15,816379262.0,816379267.0,5.72183635785616,1.124453975331581,1.178698289718369e-15,2.316375189183057e-16,25.893305638981893,4.5253488599739535,25.971441465891736,6.102888465603651,1.257195023914352e-15
16,816379267.0,816379272.0,5.554312980707458,1.107310238929709,1.1441884740257363e-15,2.2810590921952e-16,25.160662081756012,4.5299323551175315,26.892234439304254,5.924208681321457,1.22038698835222e-15
17,816379272.0,816379277.0,3.898305025322274,0.9281080335294357,8.030508352163884e-16,1.9119025490706376e-16,17.642274366504147,4.5256269716979505,27.439158080288777,4.157917019381159,8.565309059925187e-16
18,816379277.0,816379282.0,3.921046854602535,0.930728242775756,8.077356520481222e-16,1.9173001801180574e-16,17.748362015061264,4.526434565358022,28.756754115033292,4.182173366281167,8.615277134539203e-16
19,816379282.0,816379287.0,6.1592811292862475,1.1666911939910523,1.2688119126329669e-15,2.4033838596215676e-16,27.870721684609837,4.5249958720165715,29.86004539659652,6.5694653620634265,1.3533098645850658e-15
20,816379287.0,816379292.0,5.194267396412123,1.0710940063717582,1.0700190836608973e-15,2.2064536531258218e-16,23.51762319762656,4.5276111918826265,30.628713258574106,5.5401854576459675,1.1412782042750692e-15
21,816379292.0,816379297.0,5.545872464811998,1.106692022060903,1.1424497277512716e-15,2.27978556544546e-16,25.112283052705884,4.528103235702009,31.048624262103463,5.915206059806168,1.2185324483200707e-15
22,816379297.0,816379302.0,4.964983018477106,1.0467773647357295,1.0227865018062838e-15,2.1563613713556026e-16,22.497118136796956,4.531157116363598,31.512497335346357,5.295631629481789,1.0909001156732484e-15
23,816379302.0,816379307.0,5.656831228500402,1.116762220074226,1.1653072330710827e-15,2.3005301733529054e-16,25.658130916658948,4.535778049623869,32.081013416609586,6.033554246772727,1.2429121748351818e-15
24,816379307.0,816379312.0,4.996336057378478,1.0499849488404118,1.0292452278199665e-15,2.1629689946112483e-16,22.643165247625962,4.5319540134189005,32.00370097668493,5.329072659162772,1.0977889677875311e-15
25,816379312.0,816379317.0,5.535076661438728,1.105186905504521,1.1402257922563778e-15,2.276685025339313e-16,25.08278867824756,4.5316063737639025,31.820365810890017,5.903691297802665,1.216160407347349e-15
26,816379317.0,816379322.0,5.13140685269123,1.0640352179308699,1.0570698116543932e-15,2.1919125489375919e-16,23.257385648517758,4.532360484400128,31.390201985825815,5.4731386455348385,1.1274665609801766e-15
27,816379322.0,816379327.0,5.119856697297237,1.0625493218541135,1.0546904796432309e-15,2.1888516030194738e-16,23.217604767299658,4.534815355194646,30.83598901003332,5.460819294591993,1.1249287746859507e-15
