,t0,t1,cps,cps_err,flux,flux_err,counts,expt,detrad,cps_apcorrected,flux_apcorrected
10,816397235.0,816397265.0,0.9734121288686902,0.18080915136033318,1.3627769804161663e-15,2.531328119044665e-16,28.98362426720214,29.775285727009802,34.74680827440387,1.0382376010098342,1.453532641413768e-15
11,816397265.0,816397295.0,0.8408668119686596,0.16804965539693006,1.1772135367561235e-15,2.352695175557021e-16,25.036820227017913,29.77501296358819,36.78453343014386,0.8968652801170263,1.2556113921638368e-15
12,816397295.0,816397325.0,0.7147616865948697,0.15492922815627,1.0006663612328176e-15,2.16900919418778e-16,21.28412571208992,29.777933136690162,31.166901542244815,0.7623620425260865,1.0673068595365211e-15
13,816397325.0,816397355.0,0.7169504775283482,0.15516073247209253,1.0037306685396874e-15,2.1722502546092954e-16,21.350825665932824,29.780056412736837,28.923773822795603,0.7646965984459178,1.070575237824285e-15
14,816397355.0,816397385.0,0.679200268389732,0.15102566343257276,9.50880375745625e-16,2.1143592880560188e-16,20.225263727604997,29.778056147645003,34.61801510619456,0.7244323718030378,1.014205320524253e-15
15,816397385.0,816397415.0,0.5819143128621967,0.13978763280818765,8.146800380070755e-16,1.9570268593146271e-16,17.32928233947615,29.779783649315224,36.99442763005834,0.6206675489871907,8.68934568582067e-16
16,816397415.0,816397445.0,0.5823556165717324,0.1398324788144361,8.152978632004254e-16,1.9576547034021056e-16,17.344445652912135,29.78325469756281,32.2449916447804,0.6211382418120646,8.695935385368905e-16
17,816397445.0,816397475.0,-7.977949634104536,-2.1115632001221467,-1.1169129487746351e-14,-2.9561884801710056e-15,14.274943935449686,-1.7892998314286725,28.91771787947032,,
18,816397475.0,816397505.0,0.7462637032469217,0.15828504490273385,1.0447691845456904e-15,2.215990628638274e-16,22.228229409712284,29.786025118198022,34.128267126291284,0.795961971298094,1.1143467598173316e-15
19,816397505.0,816397535.0,0.7800672443097406,0.16182929155169937,1.0920941420336369e-15,2.2656100817237913e-16,23.235382059272137,29.786383454457784,37.59841936324458,0.8320166970795454,1.1648233759113636e-15
20,816397535.0,816397565.0,0.5539805788971055,0.13637291625464837,7.755728104559478e-16,1.9092208275650774e-16,16.501857180387933,29.787790057984928,31.74011039577844,0.5908735366885463,8.272229513639648e-16
21,816397565.0,816397595.0,0.6638707948651597,0.1492857086320098,9.294191128112236e-16,2.0899999208481373e-16,19.775645078809294,29.788394416154386,28.445688283552197,0.7080820148012281,9.913148207217194e-16
22,816397595.0,816397625.0,0.787103687862225,0.17456342603936575,1.101945163007115e-15,2.4438879645511205e-16,20.330936343688993,25.83006109259614,34.960890850849154,0.8395217404798817,1.1753304366718345e-15
23,816397625.0,816397655.0,0.8400999844384461,0.1679386864088076,1.1761399782138247e-15,2.3511416097233065e-16,25.02421424288008,29.78718569981547,38.14808044465819,0.8960473848476482,1.2544663387867076e-15
24,816397655.0,816397685.0,1.040466477892046,0.1868890226187965,1.4566530690488644e-15,2.6164463166631513e-16,30.994782953682545,29.789314324164533,32.131447831187046,1.1097575095897632,1.5536605134256685e-15
25,816397685.0,816397715.0,0.8767456060062564,0.17155333978367335,1.227443848408759e-15,2.401746756971427e-16,26.118536679666775,29.79032515331522,27.7807600278163,0.9351334626719454,1.3091868477407237e-15
26,816397715.0,816397745.0,0.7116935548364042,0.1545643747826534,9.96370976770966e-16,2.1639012469571476e-16,21.201532925514876,29.790255625384212,35.46068976531323,0.7590895850930828,1.062725419130316e-15
27,816397745.0,816397775.0,0.8110416174732005,0.1649985204284161,1.1354582644624807e-15,2.3099792859978253e-16,24.161627266979014,29.790859983553673,38.19886903121745,0.8650538433532293,1.211075380694521e-15
28,816397775.0,816397805.0,0.9513491842047371,0.17870386755036316,1.331888857886632e-15,2.5018541457050844e-16,28.340792919572767,29.79010587291745,31.628288345278555,1.0147053498083438,1.4205874897316813e-15
29,816397805.0,816397835.0,0.847545896852519,0.16867624814850965,1.1865642555935266e-15,2.361467474079135e-16,25.2475119520007,29.788961336207148,27.562824464400897,0.903989166147517,1.2655848326065239e-15
