#tic_id,n_sectors,n_outbursts,n_flares,ampl_max,ampl_mean,fwhm_max,fwhm_mean,bol_energy_max,bol_energy_mean,M_CME_max,M_CME_mean,tessmag,teff,radius,logg,type,tess_rot,kelt_rot,rot,FFD_alpha,FFD_beta,preb_chem,ozone_depl_cons,ozone_depl_perm,duplicates
2760232,1,11,18,0.42041361653003434,0.08553751295116672,0.05816342470584157,0.008433689851298685,nan,nan,nan,nan,11.126,nan,0.225556,5.02139,nan,0.3993,nan,0.3993,nan,nan,0,0,0,0
2761472,1,16,22,7.263586986093102,0.7558343280091955,0.025779268263625314,0.0061296332040836204,1.8102307203667583e+34,1.4680591662349902e+33,4.635316101725327e+20,7.571188376831615e+19,12.551,3041.0,0.216026,5.03644,M4-M10,0.958129,nan,0.958129,-0.5538280819930742,17.520226343242395,0,0,0,0
5640393,1,18,22,0.998715316654202,0.07580257200984869,0.0339940760147433,0.006911755345277454,nan,nan,nan,nan,11.181,nan,0.287,4.96357,nan,0.963198,nan,0.963198,nan,nan,0,0,0,0
5656273,1,23,27,0.04656226813077343,0.01613125582103768,0.017571469894641808,0.005707965042410921,4.3670918538475936e+33,1.0594510957199259e+33,2.2260948862471746e+20,9.45827906261464e+19,9.2107,3815.0,0.587235,4.66203,M0-M4,0.431193,nan,0.431193,-1.335720766163303,43.587931054586065,0,0,0,0
5676537,1,11,13,0.010523525690708954,0.006321585005086823,0.07541231770209864,0.013333979828501895,1.0492564798452521e+34,3.0419598839298667e+33,4.5480230479141274e+20,1.7055508565859995e+20,9.3199,4515.0,0.686554,nan,FGK,nan,nan,nan,-0.8454881658594664,27.48802632247528,0,0,0,0
5725904,1,2,2,1.1954875853744384,0.669363925208488,0.0026644512291452357,0.0023202843059945263,2.0310905418468597e+33,1.1884064249945262e+33,1.7228278461433496e+20,1.1685435362553299e+20,13.8295,3124.0,0.234268,5.00835,M4-M10,0.330389,nan,0.330389,nan,nan,0,0,0,0
5727213,1,15,27,1.3164537977583812,0.14237581931384666,0.032187865126453524,0.008258437333334858,nan,nan,nan,nan,11.149,nan,0.295,4.95667,nan,2.67712,nan,2.67712,nan,nan,0,0,0,0
5796048,1,13,16,0.8080842416757914,0.13299638490718338,0.019067345417813367,0.004923068534830089,5.6474342653780485e+34,7.537753738793427e+33,1.1095920194483687e+21,2.5735238575501292e+20,10.8081,3621.0,0.559388,4.65864,M0-M4,0.555649,nan,0.555649,-0.6566812415641827,21.392295069131976,0,0,1,471015484
5796211,1,1,2,0.08718172217762774,0.06870387506708249,0.009119340524572283,0.006598172725654692,nan,nan,nan,nan,12.016,nan,0.576,4.71346,nan,2.46006,nan,2.46006,nan,nan,0,0,0,0
7151484,1,24,40,0.6577183332083858,0.03821558041947874,0.034498494746929,0.005995707558832389,1.5462623288720365e+33,4.128684176787511e+32,1.0876670472672544e+20,4.4632068967346815e+19,9.87974,3403.0,0.438721,4.79158,M0-M4,1.15218,nan,1.15218,-1.0683623001353744,34.4922837487468,0,0,0,0
8962122,1,1,1,0.012498170806000988,0.012498170806000988,0.004325423407185763,0.004325423407185763,2.944036766288622e+33,2.944036766288622e+33,2.8063106358944412e+20,2.8063106358944412e+20,11.006,4480.0,0.740142,4.54454,FGK,4.928445,nan,4.928445,nan,nan,0,0,0,0
8991030,1,4,5,0.22691390033575742,0.07296352273889968,0.012967589743257842,0.006751952363459929,nan,nan,nan,nan,12.65,nan,nan,nan,nan,4.440108,nan,4.440108,nan,nan,0,0,0,0
9003103,1,1,1,0.0028187584659015792,0.0028187584659015792,0.009207603396149415,0.009207603396149415,nan,nan,nan,nan,8.786,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
9072094,1,5,6,0.2791448826943179,0.10117238844331727,0.025068286852521472,0.011338084631563916,1.4531309817505417e+33,9.530982822272008e+32,1.0820416730330694e+20,8.376953273719931e+19,13.5518,3252.0,nan,nan,M0-M4,4.66781,nan,4.66781,-0.8923767488708841,28.416923783113287,0,0,0,0
9102812,1,1,1,0.0035915336098392937,0.0035915336098392937,0.004988130156309613,0.004988130156309613,2.085003092954529e+34,2.085003092954529e+34,5.824506375470297e+20,5.824506375470297e+20,8.5147,6013.0,2.03524,3.86694,FGK,3.807466,nan,3.807466,nan,nan,0,0,0,0
